,to,from
0,Ethiopia,Zimbabwe
1,India,Ethiopia
2,India,Zambia
3,India,Denmark
4,India,China
5,India,Kenya
6,India,United States
7,India,Nigeria
8,India,South Africa
9,India,Canada
10,India,Netherlands
11,India,Sri Lanka
12,India,Malaysia
13,India,Spain
14,India,Italy
15,India,Viet Nam
16,India,Nepal
17,India,United Kingdom
18,Kenya,Mauritius
19,Pakistan,Hong Kong
20,Pakistan,Malaysia
21,Pakistan,Viet Nam
22,Pakistan,South Africa
23,Pakistan,United Arab Emirates
24,Pakistan,United Kingdom
25,Pakistan,Sri Lanka
26,Pakistan,India
27,Pakistan,Spain
28,Pakistan,Uganda
29,Pakistan,"Tanzania, United Republic of"
30,Pakistan,United States
31,Pakistan,China
32,Pakistan,Netherlands
33,Pakistan,Nigeria
34,Pakistan,Canada
35,Pakistan,Australia
36,Pakistan,Italy
37,Pakistan,Nepal
38,Pakistan,Germany
39,Pakistan,Philippines
40,Pakistan,Thailand
41,Pakistan,Kenya
42,Pakistan,Guinea
43,Pakistan,Cambodia
44,Pakistan,Turkey
45,Pakistan,Maldives
46,Pakistan,Ethiopia
47,Pakistan,Bangladesh
48,Pakistan,Kuwait
49,Pakistan,Benin
50,Pakistan,Bahrain
51,Pakistan,Singapore
52,Pakistan,Qatar
53,Pakistan,Kazakhstan
54,Pakistan,Ireland
55,Pakistan,Austria
56,Pakistan,Ghana
57,Afghanistan,Spain
58,Austria,Switzerland
59,Austria,Germany
60,Netherlands,Portugal
61,Nigeria,United Kingdom
62,Spain,Australia
63,Spain,Portugal
64,United Arab Emirates,"Tanzania, United Republic of"
65,United Arab Emirates,Nigeria
66,United Arab Emirates,China
67,United Arab Emirates,Japan
68,United Arab Emirates,Hong Kong
69,Germany,Australia
70,Germany,Netherlands
71,Germany,Spain
72,Germany,Italy
73,Germany,Austria
74,Thailand,United States
75,Thailand,Australia
76,Thailand,China
77,Turkey,Spain
78,Bulgaria,Germany
79,Bulgaria,Spain
80,Bulgaria,Romania
81,Bulgaria,Italy
82,Bulgaria,Austria
83,Bulgaria,Belgium
84,Bulgaria,Poland
85,Bulgaria,Netherlands
86,Bulgaria,Albania
87,Bulgaria,Russian Federation
88,"Iran, Islamic Republic of",United Arab Emirates
89,Romania,Germany
90,Romania,Netherlands
91,Belgium,Spain
92,France,China
93,France,Italy
94,France,Canada
