,to,from
0,Peru,Spain
1,Peru,Australia
2,Peru,Israel
3,Peru,Serbia
4,Peru,Bahrain
5,Peru,United States
6,Peru,Saudi Arabia
7,Peru,Mexico
8,Peru,Netherlands
9,Peru,United Kingdom
10,Peru,France
11,Peru,El Salvador
12,Peru,Poland
13,Peru,Lao People's Democratic Republic
14,Peru,Greece
15,Peru,China
16,Peru,Ireland
17,Peru,Thailand
18,Peru,"Taiwan, Province of China"
19,Peru,Canada
20,Peru,Mozambique
21,Peru,Turkey
22,Peru,Russian Federation
23,Peru,Japan
24,Peru,Finland
25,Peru,Germany
26,Peru,Ukraine
27,Peru,Sweden
28,Peru,Switzerland
29,Peru,Italy
30,Peru,Dominican Republic
31,Peru,Viet Nam
32,Peru,Liberia
33,Peru,Austria
34,Peru,Bulgaria
35,Spain,Czech Republic
36,Spain,Austria
37,Spain,France
38,Spain,United Arab Emirates
39,Spain,Cambodia
40,Spain,Georgia
41,Spain,Albania
42,Spain,Netherlands
43,Spain,Maldives
44,Spain,Nigeria
45,Spain,Russian Federation
46,Spain,Italy
47,Spain,Israel
48,Spain,Morocco
49,Spain,Turkey
50,Spain,Belgium
51,Spain,Greece
52,Spain,Portugal
53,Spain,Colombia
54,Spain,Hong Kong
55,United States,Mexico
56,United States,El Salvador
57,United States,Spain
58,Mexico,Spain
59,Mexico,United States
60,Mexico,Australia
61,Mexico,Canada
62,Mexico,China
63,Mexico,Czech Republic
64,Netherlands,Latvia
65,Netherlands,Slovakia
66,Netherlands,Singapore
67,Netherlands,Austria
68,Netherlands,Spain
69,Netherlands,Bulgaria
70,El Salvador,United States
71,El Salvador,Guatemala
72,China,Czech Republic
73,Germany,Netherlands
74,Germany,Spain
75,Germany,Belgium
76,Italy,Austria
77,Dominican Republic,Spain
78,Bulgaria,Turkey
79,Panama,Mexico
80,Panama,El Salvador
81,Panama,Spain
82,Brazil,Mexico
83,Brazil,Luxembourg
84,Brazil,Ghana
85,Brazil,Cyprus
86,Brazil,Czech Republic
87,Brazil,Spain
88,Brazil,Bulgaria
89,Colombia,Mexico
90,Colombia,El Salvador
91,Colombia,Germany
92,Colombia,Austria
93,Colombia,Spain
94,Ecuador,Mexico
95,Ecuador,El Salvador
96,Ecuador,Germany
97,Ecuador,Spain
98,Belgium,Luxembourg
99,Belgium,Cyprus
100,Belgium,Austria
101,Guatemala,El Salvador
102,Honduras,El Salvador
103,Ghana,Nigeria
104,Paraguay,Germany
105,Paraguay,Spain
106,Uruguay,Germany
107,Uruguay,Spain
108,Netherlands Antilles,Germany
109,Cuba,Turkey
110,Cuba,Bahamas
111,"Bolivia, Plurinational State of",Spain
112,"Venezuela, Bolivarian Republic of",Spain
113,Albania,Croatia
114,Slovenia,Austria
115,Guinea-Bissau,Austria
116,Pakistan,South Africa
117,Argentina,Spain
118,Chile,Spain
119,Costa Rica,Spain
