,to,from
297,Nicaragua,Italy
298,Switzerland,Italy
299,Switzerland,Spain
300,United States,New Zealand
301,United States,Cuba
302,Pakistan,Spain
303,Pakistan,Malaysia
304,Guinea-Bissau,Portugal
305,Chile,Spain
306,Chile,Portugal
307,Chile,New Zealand
308,Chile,Italy
309,Greece,Italy
310,Kenya,Italy
311,Morocco,Ghana
312,Morocco,Spain
313,Morocco,Congo
314,Morocco,Italy
315,Serbia,Croatia
316,Serbia,Hungary
317,Bulgaria,Netherlands
318,Bulgaria,Mongolia
319,Sweden,Norway
320,India,Spain
321,India,Italy
322,Jamaica,Italy
323,Luxembourg,France
324,Martinique,France
325,Ghana,Egypt
326,Ghana,Nigeria
327,Ghana,India
328,United Arab Emirates,Italy
329,Cape Verde,Portugal
330,Malta,Syrian Arab Republic
331,Syrian Arab Republic,Lebanon
332,Honduras,El Salvador
333,Honduras,Spain
334,Guinea,Italy
335,Guatemala,Spain
336,Romania,Italy
337,Romania,Nigeria
338,Senegal,Spain
339,Senegal,Italy
340,Cyprus,Peru
341,Suriname,Spain
342,Angola,Portugal
343,Guyana,Portugal
344,Saint Pierre and Miquelon,Bulgaria
345,Cameroon,Italy
