,to,from
185,Guatemala,Spain
186,Argentina,Spain
187,Argentina,Netherlands
188,Argentina,Portugal
189,Argentina,South Africa
190,Argentina,United Kingdom
191,Argentina,Italy
192,Argentina,Iceland
193,Argentina,Turkey
194,Argentina,China
195,Argentina,Japan
196,Argentina,France
197,Argentina,Peru
198,Argentina,Uruguay
199,Argentina,Belgium
200,Argentina,Lithuania
201,Argentina,Ireland
202,Argentina,Russian Federation
203,Argentina,United States
204,Argentina,Ukraine
205,Argentina,Albania
206,Argentina,Australia
207,Argentina,Lao People's Democratic Republic
208,Argentina,Switzerland
209,Argentina,Chile
210,Argentina,Malta
211,Argentina,Mozambique
212,Argentina,Lebanon
213,Portugal,Spain
214,Portugal,Netherlands
215,Portugal,France
216,Portugal,Switzerland
217,Portugal,Guinea-Bissau
218,Portugal,Côte d'Ivoire
219,Portugal,Mali
220,Portugal,Guinea
221,Portugal,Italy
222,Portugal,Belgium
223,Portugal,St. Lucia
224,Portugal,Cape Verde
225,Portugal,Mozambique
226,Paraguay,Argentina
227,Paraguay,Spain
228,"Bolivia, Plurinational State of",Argentina
229,"Bolivia, Plurinational State of",Latvia
230,"Bolivia, Plurinational State of",Portugal
231,"Bolivia, Plurinational State of",Spain
232,Uruguay,Spain
233,Ukraine,Russian Federation
234,Chile,Spain
235,Mozambique,Spain
236,French Guiana,France
237,Panama,Spain
238,Bulgaria,Denmark
239,Bulgaria,Romania
240,Morocco,Spain
241,Malaysia,China
242,Cameroon,Spain
243,Hong Kong,"Korea, Republic of"
244,Lebanon,Australia
245,Suriname,Pakistan
246,Poland,Belarus
247,Romania,Bulgaria
248,Guinea-Bissau,Portugal
249,Senegal,Portugal
250,Latvia,Russian Federation
251,Grenada,Spain
252,Nicaragua,Spain
253,Sierra Leone,Spain
254,Libyan Arab Jamahiriya,Spain
255,El Salvador,Spain
